Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Luis Matos,22,ve VE,R,R,5' 11",160,Jan 28 2002,2,45,33,45,43,0,0,0,0,0,0,7,19,21,43,1,8,1,-0.2,$743750,,matoslu02
Grant McCray,23,us US,L,R,6' 2",190,Dec 7 2000,1st,37,35,37,37,0,0,0,0,0,0,0,37,0,37,0,0,0,0.0,,,mccragr01
Trevor McDonald,23,us US,R,R,6' 2",200,Feb 26 2001,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,mcdontr01
Ryan McKenna,27,us US,R,R,5' 10",195,Feb 14 1997,4,4,2,4,4,0,0,0,0,0,0,1,0,3,4,0,1,1,0.0,$800000,,mckenry01
Erik Miller,26,us US,L,L,6' 5",240,Feb 13 1998,1st,73,10,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$740000,,milleer01
Tom Murphy,33,us US,R,R,6' 1",206,Apr 3 1991,9,13,10,13,12,0,12,0,0,0,0,0,0,0,0,1,1,0,-0.4,$4000000,,murphto04
Heliot Ramos,24,pr PR,R,R,5' 11",188,Sep 7 1999,3,121,118,121,112,0,0,0,0,0,0,50,60,8,112,8,3,0,2.3,$740000,All-Star,ramoshe02
Robbie Ray,32,us US,L,L,6' 2",225,Oct 1 1991,11,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,rayro02
Jakson Reetz,28,us US,R,R,5' 11",205,Jan 3 1996,2,6,4,6,6,0,6,0,0,0,0,0,0,0,0,0,1,0,-0.2,,,reetzja01
Randy Rodríguez,24,do DO,R,R,6' 0",166,Sep 5 1999,1st,35,1,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$740000,,rodrira02
Taylor Rogers,33,us US,L,L,6' 3",190,Dec 17 1990,9,64,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1.1,$12000000,,rogerta01
Tyler Rogers,33,us US,R,R,6' 3",181,Dec 17 1990,6,77,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,1.5,$3200000,,rogerty01
Landen Roupp,25,us US,R,R,6' 2",205,Sep 10 1998,1st,23,4,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$740000,,rouppla01
Blake Sabol,26,us US,L,R,6' 4",225,Jan 7 1998,2,11,9,11,8,0,8,0,0,0,0,0,0,0,0,2,1,0,0.3,$740000,,sabolbl01
Casey Schmitt,25,us US,R,R,6' 2",215,Mar 1 1999,2,40,30,40,38,0,0,0,19,9,10,0,0,0,0,1,5,1,0.2,$740000,,schmica01
Austin Slater,31,us US,R,R,6' 1",204,Dec 13 1992,8,43,23,43,39,0,0,0,0,0,0,9,4,30,39,1,17,2,-0.3,$4000000,,slateau01
Blake Snell,31,us US,L,L,6' 4",225,Dec 4 1992,9,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,2.1,$32000000,,snellbl01
Jorge Soler,32,cu CU,R,R,6' 4",235,Feb 25 1992,11,93,91,93,0,0,0,0,0,0,0,0,0,0,0,92,2,0,1.1,$10000000,,solerjo01
Kai-Wei Teng,25,tw TW,R,R,6' 4",260,Dec 1 1998,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$740000,,tengka01
David Villar,27,us US,R,R,6' 1",215,Jan 27 1997,3,11,10,11,10,0,0,10,0,0,0,0,0,0,0,1,1,0,0.0,$740000,,villada01
LaMonte Wade Jr.,30,us US,L,L,6' 1",205,Jan 1 1994,6,117,94,117,104,0,0,94,0,0,0,1,0,11,12,4,22,0,2.1,$3500000,,wadela01
Ryan Walker,28,us US,R,R,6' 2",200,Nov 26 1995,2,76,1,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,2.8,$747500,,walkery01
Donovan Walton,30,us US,L,R,5' 9",190,May 25 1994,5,9,6,9,9,1,0,0,8,0,0,0,0,0,0,0,1,0,0.0,,,waltodo01
Austin Warren,28,us US,R,R,6' 0",170,Feb 5 1996,4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$755000,,warreau01
Logan Webb,27,us US,R,R,6' 1",220,Nov 18 1996,6,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,3.7,$8000000,All-Star,webblo01
Mitch White,29,us US,R,R,6' 3",210,Dec 28 1994,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,whitemi03
Keaton Winn,26,us US,R,R,6' 4",238,Feb 20 1998,2,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,$743750,,winnke01
Brett Wisely,25,us US,L,R,5' 9",180,May 8 1999,2,91,68,91,86,0,0,1,50,3,37,0,1,0,1,0,10,4,0.5,$740000,,wiselbr01
Mike Yastrzemski,33,us US,L,L,5' 10",178,Aug 23 1990,6,140,120,140,134,1,0,0,0,0,0,0,9,127,134,0,13,1,2.1,$7900000,,yastrmi01
