Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
549,Sam Hentges,27,CLE,AL,25,0,0,23.2,3,1,2,0,0,1.000,,,0,0,0,1.14,0.12,P,hentgsa01
550,Jimmy Herget,30,ATL,NL,8,0,0,12.1,1,0,0,1,0,.000,,,-1,-16,0,0.00,0.00,P,hergeji01
551,Kevin Herget,33,MIL,NL,7,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0,0.79,0.14,P,hergeke01
552,Darell Hernaiz,22,OAK,AL,47,39,25,339.0,130,52,75,3,13,.977,-5,-18,-5,-18,1,3.37,2.35,3B-SS-2B,hernada04
553,Carlos Hernández,27,KCR,AL,27,0,0,30.0,2,1,1,0,0,1.000,,,-2,-13,0,0.60,0.07,P,hernaca04
554,Daysbel Hernández,27,ATL,NL,16,0,0,18.0,2,1,1,0,0,1.000,,,0,0,0,1.00,0.13,P,hernada03
555,Elieser Hernández,29,TOT,NL,9,1,0,15.2,1,0,1,0,0,1.000,,,0,0,0,0.57,0.11,P,hernael01
556,Enrique Hernández,32,LAD,NL,123,93,67,881.0,302,154,138,10,25,.967,3,4,5,6,2,2.98,2.13,3B-OF-1B-SS-2B-P,hernaen02
557,Jonathan Hernández,27,TOT,AL,29,1,0,43.1,9,7,2,0,0,1.000,,,0,0,0,1.87,0.31,P,hernajo02
558,Jose Hernandez,26,PIT,NL,7,0,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,hernajo03
559,Nick Hernandez,29,HOU,AL,5,0,0,8.0,1,1,0,0,0,1.000,,,0,0,0,1.13,0.20,P,hernani01
560,Teoscar Hernández,31,LAD,NL,154,154,104,1308.0,263,253,7,3,3,.989,-1,-1,-3,-2,0,1.79,1.69,OF,hernate01
561,Iván Herrera,24,STL,NL,56,52,47,469.2,496,476,17,3,2,.994,-5,-14,-7,-18,2,9.45,8.80,C,herreiv01
562,José Herrera,27,ARI,NL,41,31,22,284.2,323,314,8,1,1,.997,-2,-10,-2,-8,1,10.18,7.85,C-3B,herrejo04
563,Tim Herrin,27,CLE,AL,75,0,0,65.2,20,2,17,1,2,.950,,,4,12,0,2.60,0.25,P,herriti01
564,DJ Herz,23,WSN,NL,19,19,0,88.2,5,0,5,0,0,1.000,,,0,0,-1,0.51,0.26,P,herzdj01
565,Jason Heyward,34,TOT,ZZ,85,63,49,580.0,149,145,2,2,0,.987,13,27,5,10,0,2.28,1.73,OF,heywaja01
566,Brewer Hicklen,28,MIL,NL,2,2,0,12.0,2,2,0,0,0,1.000,0,-25,0,0,0,1.50,1.00,OF,hicklbr01
567,Aaron Hicks,34,LAA,AL,14,9,8,87.2,19,19,0,0,0,1.000,-2,-32,-2,-27,0,1.95,1.36,OF-P,hicksaa01
568,Jordan Hicks,27,SFG,NL,29,20,0,109.2,29,18,10,1,3,.966,,,-2,-4,0,2.30,0.97,P,hicksjo03
569,Kyle Higashioka,34,SDP,NL,83,77,60,665.2,698,669,20,9,1,.987,-3,-6,1,2,-5,9.32,8.30,C,higasky01
570,Derek Hill,28,TOT,ZZ,46,37,23,333.0,100,97,2,1,1,.990,1,4,-4,-14,-1,2.68,2.15,OF,hillde01
571,Jaden Hill,24,COL,NL,9,0,0,10.2,1,0,1,0,0,1.000,,,-1,-19,0,0.84,0.11,P,hillja01
572,Rich Hill,44,BOS,AL,4,0,0,3.2,1,0,1,0,0,1.000,,,0,0,0,2.45,0.25,P,hillri01
573,Tim Hill,34,TOT,AL,62,0,0,67.0,27,4,21,2,1,.926,,,0,0,0,3.36,0.40,P,hillti01
574,Sam Hilliard,30,COL,NL,52,41,35,372.0,82,78,1,3,0,.963,-11,-35,-2,-6,-1,1.91,1.52,OF,hillisa01
575,Rece Hinds,23,CIN,NL,22,10,10,115.0,33,33,0,0,0,1.000,4,40,1,10,0,2.58,1.50,OF,hindsre01
576,Keston Hiura,27,LAA,AL,5,4,1,33.0,11,3,7,1,1,.909,-1,-33,-1,-36,0,2.73,2.00,2B,hiurake01
577,Sean Hjelle,27,SFG,NL,58,0,0,80.2,27,14,13,0,2,1.000,,,1,2,0,3.01,0.47,P,hjellse01
578,Porter Hodge,23,CHC,NL,39,0,0,43.0,8,5,3,0,0,1.000,,,1,5,0,1.67,0.21,P,hodgepo01
579,Bryan Hoeing,27,TOT,NL,34,2,0,53.2,11,3,7,1,2,.909,,,-2,-44,0,1.68,0.29,P,hoeinbr01
580,Nico Hoerner,27,CHC,NL,150,149,137,1307.1,610,238,363,9,64,.985,-4,-4,3,3,1,4.14,3.90,2B-SS,hoernni01
581,Jeff Hoffman,31,PHI,NL,68,0,0,66.1,10,9,1,0,0,1.000,,,-2,-6,0,1.36,0.15,P,hoffmje02
582,Colin Holderman,28,PIT,NL,55,0,0,51.1,9,5,4,0,0,1.000,,,-1,-4,0,1.58,0.16,P,holdeco01
583,Jackson Holliday,20,BAL,AL,59,53,49,474.2,211,80,128,3,30,.986,-6,-15,-3,-8,-1,3.94,3.53,2B-SS,hollija01
584,Gavin Hollowell,26,CHC,NL,1,0,0,1.1,2,0,2,0,0,1.000,,,0,0,0,13.50,2.00,P,holloga01
585,Grant Holman,24,OAK,AL,18,0,0,15.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,holmagr01
586,Clay Holmes,31,NYY,AL,67,0,0,63.0,10,6,4,0,0,1.000,,,-2,-6,0,1.43,0.15,P,holmecl01
587,Grant Holmes,28,ATL,NL,26,7,0,68.1,9,3,6,0,1,1.000,,,-1,-3,0,1.19,0.35,P,holmegr01
588,Tyler Holton,28,DET,AL,66,9,0,94.1,16,4,12,0,0,1.000,,,2,4,0,1.53,0.24,P,holtoty01
589,Brent Honeywell Jr.,29,TOT,NL,20,1,0,37.2,9,5,4,0,1,1.000,,,1,31,0,2.15,0.45,P,honeybr01
590,Bailey Horn,26,BOS,AL,18,0,0,18.0,5,1,3,1,0,.800,,,0,0,0,2.00,0.22,P,hornba01
591,Spencer Horwitz,26,TOR,AL,73,69,49,588.2,370,271,96,3,40,.992,-6,-13,-6,-12,-2,5.61,4.59,1B-2B,horwisp01
592,Rhys Hoskins,31,MIL,NL,94,88,76,777.1,660,602,55,3,52,.995,-4,-6,-3,-5,-1,7.61,6.99,1B,hoskirh01
593,Tanner Houck,28,BOS,AL,30,30,1,178.2,51,32,19,0,2,1.000,,,2,2,0,2.57,1.70,P,houckta01
594,Adrian Houser,31,NYM,NL,23,7,0,69.1,15,4,11,0,1,1.000,,,3,9,1,1.95,0.65,P,housead01
595,Spencer Howard,27,TOT,ZZ,9,3,0,29.0,2,0,2,0,0,1.000,,,-1,-41,0,0.62,0.22,P,howarsp01
596,Bryan Hudson,27,MIL,NL,43,0,0,62.1,10,5,5,0,0,1.000,,,1,3,0,1.44,0.23,P,hudsobr01
597,Dakota Hudson,29,COL,NL,18,18,0,89.0,14,3,11,0,2,1.000,,,0,0,0,1.42,0.78,P,hudsoda02
598,Daniel Hudson,37,LAD,NL,65,0,0,63.0,7,4,3,0,0,1.000,,,0,0,0,1.00,0.11,P,hudsoda01
599,Joe Hudson,33,NYM,NL,1,0,0,1.0,2,2,0,0,0,1.000,0,24,0,0,0,18.00,2.00,C,hudsojo03
600,Sam Huff,26,TEX,AL,2,1,1,11.0,9,9,0,0,0,1.000,0,19,0,0,0,7.36,4.50,C,huffsa01
601,Brandon Hughes,28,ARI,NL,15,2,0,17.2,5,2,3,0,0,1.000,,,0,0,0,2.55,0.33,P,hughebr01
602,Cooper Hummel,29,HOU,AL,4,1,0,10.0,3,3,0,0,0,1.000,1,60,0,0,0,2.70,0.75,OF,hummeco01
603,Kyle Hurt,26,LAD,NL,3,1,0,6.2,1,1,0,0,0,1.000,,,0,0,0,1.35,0.33,P,hurtky01
604,Brant Hurter,25,DET,AL,10,1,0,45.1,4,3,1,0,0,1.000,,,-1,-4,0,0.79,0.40,P,hurtebr01
605,Jacob Hurtubise,26,CIN,NL,21,17,9,147.0,35,32,3,0,0,1.000,0,2,1,8,1,2.14,1.67,OF,hurtuja01
606,Andy Ibáñez,31,DET,AL,85,45,24,453.2,255,147,106,2,32,.992,5,12,8,21,0,5.02,2.75,2B-3B-1B-OF-SS,ibanean01
607,Jose Iglesias,34,NYM,NL,85,69,47,625.0,250,91,156,3,38,.988,0,0,4,8,2,3.56,2.40,2B-3B-SS,iglesjo01
608,Raisel Iglesias,34,ATL,NL,66,0,0,69.1,15,4,11,0,1,1.000,,,2,6,0,1.95,0.23,P,iglesra01
609,Shota Imanaga,30,CHC,NL,29,29,0,173.1,18,4,14,0,1,1.000,,,3,3,0,0.93,0.62,P,imanash01
610,Jonathan India,27,CIN,NL,133,132,123,1137.0,460,217,239,4,53,.991,6,6,-10,-11,-2,3.61,3.43,2B,indiajo01
611,Jairo Iriarte,22,CHW,AL,6,0,0,6.0,1,1,0,0,0,1.000,,,0,0,0,1.50,0.17,P,iriarja01
612,Cole Irvin,30,TOT,AL,29,16,0,111.0,16,5,11,0,1,1.000,,,1,10,0,1.30,0.55,P,irvinco01
613,Jake Irvin,27,WSN,NL,33,33,0,187.2,47,17,28,2,1,.957,,,6,6,1,2.16,1.36,P,irvinja01
614,Kyle Isbel,27,KCR,AL,136,119,100,1046.1,298,293,1,4,1,.987,-8,-9,5,5,-3,2.53,2.16,OF,isbelky01
615,Alex Jackson,28,TBR,AL,58,46,30,407.0,468,444,18,6,2,.987,1,3,2,6,-1,10.22,7.97,C,jacksal02
616,Jay Jackson,36,MIN,AL,20,0,0,26.1,4,2,2,0,0,1.000,,,0,0,0,1.37,0.20,P,jacksja01
617,Luke Jackson,32,TOT,NL,52,0,0,53.0,5,2,2,1,0,.800,,,-2,-45,0,0.68,0.08,P,jackslu01
618,Alek Jacob,26,SDP,NL,7,0,0,14.2,1,0,1,0,0,1.000,,,0,0,0,0.61,0.14,P,jacobal01
619,Joe Jacques,29,TOT,ZZ,2,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,jacqujo01
620,Travis Jankowski,33,TEX,AL,69,30,23,321.0,86,82,1,3,0,.965,11,42,8,29,1,2.33,1.20,OF,jankotr01
621,Danny Jansen,29,TOT,AL,82,72,69,654.1,643,619,18,6,1,.991,-1,-1,-11,-20,3,8.76,7.86,C,janseda01
622,Kenley Jansen,36,BOS,AL,54,0,0,54.2,2,1,1,0,0,1.000,,,-1,-4,0,0.33,0.04,P,janseke01
623,Bryce Jarvis,26,ARI,NL,44,0,0,59.1,8,3,5,0,0,1.000,,,1,3,0,1.21,0.18,P,jarvibr01
624,Cristian Javier,27,HOU,AL,7,7,0,34.2,3,1,2,0,0,1.000,,,0,0,0,0.78,0.43,P,javiecr01
625,Griffin Jax,29,MIN,AL,72,0,0,71.0,10,4,6,0,0,1.000,,,1,3,0,1.27,0.14,P,jaxgr01
626,Tyler Jay,30,TOT,NL,5,0,0,7.2,1,1,0,0,0,1.000,,,0,0,0,1.17,0.20,P,jayty01
627,Daulton Jefferies,28,TOT,NL,6,1,0,14.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,jeffeda01
628,Ryan Jeffers,27,MIN,AL,86,81,76,720.1,786,749,31,6,0,.992,-3,-5,-4,-7,-1,9.75,9.07,C,jeffery01
629,Dany Jiménez,30,OAK,AL,25,0,0,25.2,2,0,1,1,0,.500,,,0,0,0,0.35,0.04,P,jimenda01
630,Eloy Jiménez,27,CHW,AL,1,1,1,8.0,1,1,0,0,0,1.000,-1,-107,0,0,0,1.13,1.00,OF,jimenel02
631,Joe Jiménez,29,ATL,NL,69,0,0,68.2,6,2,3,1,0,.833,,,0,0,0,0.66,0.07,P,jimenjo02
632,Leo Jimenez,23,TOR,AL,61,55,47,490.1,204,78,122,4,29,.980,0,0,2,5,0,3.67,3.13,SS-2B,jimenle01
633,Jackson Jobe,21,DET,AL,2,0,0,4.0,1,0,1,0,0,1.000,,,0,0,0,2.25,0.50,P,jobeja01
634,Connor Joe,31,PIT,NL,113,90,51,816.2,500,457,39,4,46,.992,-7,-10,4,5,0,5.47,3.88,1B-OF,joeco01
635,Bryce Johnson,28,SDP,NL,43,18,13,194.2,45,43,2,0,0,1.000,1,9,1,6,0,2.08,1.05,OF,johnsbr03
636,Daniel Johnson,28,BAL,AL,1,0,0,1.0,1,1,0,0,0,1.000,1,624,0,0,0,9.00,1.00,OF,johnsda07
637,Pierce Johnson,33,ATL,NL,58,0,0,56.1,11,2,9,0,1,1.000,,,1,4,0,1.76,0.19,P,johnspi01
638,Seth Johnson,25,PHI,NL,1,1,0,2.1,1,1,0,0,0,1.000,,,0,0,0,3.86,1.00,P,johnsse01
639,Greg Jones,26,COL,NL,4,1,1,15.0,2,2,0,0,0,1.000,-1,-68,0,0,0,1.20,0.50,OF,jonesgr02
640,Jahmai Jones,26,NYY,AL,19,5,4,69.0,25,16,8,1,1,.960,1,11,0,0,0,3.13,1.26,OF-2B-3B,jonesja08
641,Jared Jones,22,PIT,NL,22,22,0,121.2,18,9,8,1,0,.944,,,1,2,0,1.26,0.77,P,jonesja09
642,Nolan Jones,26,COL,NL,69,67,64,583.2,112,103,4,5,0,.955,-2,-4,-4,-8,0,1.65,1.55,OF,jonesno01
643,Levi Jordan,28,CIN,NL,6,2,2,27.0,4,3,1,0,1,1.000,-2,-107,0,0,0,1.33,0.67,OF-2B,jordale01
644,Ben Joyce,23,LAA,AL,31,1,0,34.2,5,3,1,1,0,.800,,,-2,-12,0,1.04,0.13,P,joycebe01
645,Aaron Judge,32,NYY,AL,117,117,98,1010.0,283,279,4,0,2,1.000,2,2,-8,-9,1,2.52,2.42,OF,judgeaa01
646,Edouard Julien,25,MIN,AL,90,71,47,624.1,258,87,166,5,25,.981,-8,-15,-6,-12,0,3.65,2.78,2B-1B,julieed01
647,Corey Julks,28,CHW,AL,55,42,31,383.0,82,80,1,1,1,.988,-4,-12,-4,-12,0,1.90,1.47,OF,julksco01
648,Jace Jung,23,DET,AL,28,23,14,191.0,48,10,34,4,2,.917,-5,-30,-6,-38,0,2.07,1.57,3B-2B,jungja01
649,Josh Jung,26,TEX,AL,40,40,39,352.1,97,28,66,3,7,.969,-6,-19,-3,-10,0,2.40,2.35,3B,jungjo01
650,Jakob Junis,31,TOT,NL,24,6,0,67.0,6,2,4,0,2,1.000,,,1,17,0,0.81,0.25,P,junisja01
651,Janson Junk,28,TOT,ZZ,6,0,0,8.0,1,0,1,0,0,1.000,,,0,0,0,1.13,0.17,P,junkja01
652,Evan Justice,25,COL,NL,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,justiev01
653,Tommy Kahnle,34,NYY,AL,50,0,0,42.2,6,4,2,0,0,1.000,,,-2,-9,0,1.27,0.12,P,kahnlto01
654,Niko Kavadas,25,LAA,AL,5,5,5,43.0,48,47,1,0,2,1.000,1,18,0,0,0,10.05,9.60,1B,kavadni01
655,DaShawn Keirsey,27,MIN,AL,6,4,3,36.0,6,5,1,0,0,1.000,0,1,0,0,0,1.50,1.00,OF,keirsda01
656,Colt Keith,22,DET,AL,133,125,108,1086.2,515,194,309,12,68,.977,-2,-2,-8,-9,1,4.17,3.78,2B,keithco01
657,Jarred Kelenic,24,ATL,NL,124,111,95,1000.0,238,231,4,3,0,.987,1,1,-3,-3,-2,2.12,1.90,OF,kelenja01
658,Brad Keller,28,TOT,AL,16,2,0,41.1,8,5,3,0,0,1.000,,,0,0,0,1.74,0.50,P,kellebr01
659,Mitch Keller,28,PIT,NL,31,31,1,178.0,31,10,21,0,3,1.000,,,-1,-1,0,1.57,1.00,P,kellemi03
660,Carson Kelly,29,TOT,AL,84,75,70,672.2,678,642,33,3,8,.996,1,2,-6,-10,-1,9.03,8.04,C,kellyca02
661,Casey Kelly,34,CIN,NL,2,0,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kellyca01
662,Joe Kelly,36,LAD,NL,35,0,0,32.0,7,2,5,0,0,1.000,,,1,6,0,1.97,0.20,P,kellyjo05
663,Kevin Kelly,26,TBR,AL,68,0,0,70.2,15,4,11,0,0,1.000,,,0,0,0,1.91,0.22,P,kellyke02
664,Merrill Kelly,35,ARI,NL,13,13,0,73.2,16,9,5,2,0,.875,,,-2,-5,0,1.71,1.08,P,kellyme01
665,Michael Kelly,31,OAK,AL,28,0,0,31.1,2,1,1,0,0,1.000,,,-1,-6,0,0.57,0.07,P,kellymi03
666,Zack Kelly,29,BOS,AL,49,3,0,56.2,18,9,9,0,0,1.000,,,1,4,0,2.86,0.37,P,kellyza01
667,Tony Kemp,32,BAL,AL,5,2,1,20.1,8,3,5,0,0,1.000,0,-5,0,0,0,3.54,1.33,2B-OF,kempto01
668,Buddy Kennedy,25,TOT,ZZ,10,4,4,49.0,24,9,15,0,3,1.000,1,14,1,24,0,4.41,2.40,2B-3B,kennebu01
669,Max Kepler,31,MIN,AL,103,88,84,806.1,176,172,4,0,1,1.000,0,0,0,0,0,1.96,1.71,OF,keplema01
670,Orion Kerkering,23,PHI,NL,64,2,0,63.0,4,3,1,0,0,1.000,,,-1,-3,0,0.57,0.06,P,kerkeor01
671,Ray Kerr,29,ATL,NL,10,2,0,22.1,6,1,3,2,0,.667,,,-2,-18,0,1.61,0.40,P,kerrra01
672,Clayton Kershaw,36,LAD,NL,7,7,0,30.0,4,1,2,1,0,.750,,,0,0,0,0.90,0.43,P,kershcl01
673,Grae Kessinger,26,HOU,AL,18,4,3,59.0,30,17,12,1,4,.967,0,6,0,0,0,4.42,1.61,3B-2B-SS-1B-P,kessigr01
674,Dallas Keuchel,36,MIL,NL,4,4,0,16.2,2,0,2,0,0,1.000,,,-1,-12,0,1.08,0.50,P,keuchda01
675,Kevin Kiermaier,34,TOT,ZZ,113,82,57,722.1,235,230,2,3,1,.987,4,6,10,16,-1,2.89,2.05,OF,kiermke01
676,Yusei Kikuchi,33,TOT,AL,32,32,0,175.2,20,7,13,0,0,1.000,,,2,13,0,1.02,0.63,P,kikucyu01
677,Caleb Kilian,27,CHC,NL,2,1,0,10.2,3,2,1,0,0,1.000,,,0,0,0,2.53,1.50,P,kiliaca01
678,Ha-Seong Kim,28,SDP,NL,121,119,115,1046.2,419,145,263,11,64,.974,-1,-1,2,2,-1,3.51,3.37,SS,kimha01
679,Craig Kimbrel,36,BAL,AL,57,0,0,52.1,6,3,2,1,0,.833,,,-2,-8,0,0.86,0.09,P,kimbrcr01
680,Isiah Kiner-Falefa,29,TOT,MLB,131,122,97,1063.0,445,148,292,5,60,.989,3,4,15,16,0,3.73,2.93,2B-3B-SS-P-OF,kineris01
681,Bryan King,27,HOU,AL,28,0,0,26.1,5,3,2,0,0,1.000,,,0,0,0,1.71,0.18,P,kingbr02
682,John King,29,STL,NL,56,0,0,60.0,19,6,12,1,0,.947,,,-1,-3,0,2.70,0.32,P,kingjo01
683,Michael King,29,SDP,NL,31,30,0,173.2,32,10,21,1,2,.969,,,4,5,0,1.61,1.00,P,kingmi01
684,Tyler Kinley,33,COL,NL,67,0,0,64.0,10,2,7,1,0,.900,,,-1,-3,0,1.27,0.13,P,kinlety01
685,George Kirby,26,SEA,AL,33,33,0,191.0,21,11,9,1,1,.952,,,-4,-4,0,0.94,0.61,P,kirbyge01
686,Alex Kirilloff,26,MIN,AL,41,35,13,274.1,98,94,4,0,2,1.000,-1,-5,-4,-17,1,3.22,2.33,OF-1B,kirilal01
687,Alejandro Kirk,25,TOR,AL,93,89,77,766.0,759,706,46,7,6,.991,6,10,13,20,1,8.84,8.09,C,kirkal01
688,Austin Kitchen,27,MIA,NL,4,1,0,7.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kitchau01
689,Andrew Kittredge,34,STL,NL,74,0,0,70.2,11,3,7,1,1,.909,,,-2,-6,0,1.27,0.14,P,kittran01
690,Heston Kjerstad,25,BAL,AL,19,16,9,135.0,34,34,0,0,0,1.000,2,15,-1,-8,-1,2.27,1.79,OF,kjershe01
691,Will Klein,24,TOT,AL,8,0,0,7.1,2,0,2,0,0,1.000,,,0,0,0,2.45,0.25,P,kleinwi01
692,Adam Kloffenstein,23,STL,NL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kloffad01
693,Landon Knack,26,LAD,NL,15,12,0,69.0,8,7,1,0,0,1.000,,,-2,-6,0,1.04,0.53,P,knackla01
694,Andrew Knapp,32,SFG,NL,3,2,0,17.0,21,21,0,0,0,1.000,0,-29,0,0,0,11.12,7.00,C,knappan01
695,Andrew Knizner,29,TEX,AL,36,28,20,242.0,255,248,5,2,1,.992,-3,-16,-3,-15,0,9.41,7.03,C-P,kniznan01
696,Grant Koch,27,PIT,NL,2,2,1,16.0,17,17,0,0,0,1.000,0,-2,0,0,0,9.56,8.50,C,kochgr01
697,Matt Koch,33,COL,NL,2,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kochma01
698,Jack Kochanowicz,23,LAA,AL,11,11,0,65.1,10,3,7,0,1,1.000,,,1,3,0,1.38,0.91,P,kochaja01
699,Jared Koenig,30,MIL,NL,55,6,0,62.0,7,0,5,2,0,.714,,,-1,-3,0,0.73,0.09,P,koenija01
700,Stephen Kolek,27,SDP,NL,42,0,0,46.2,9,1,8,0,0,1.000,,,0,0,0,1.74,0.21,P,kolekst01
701,Michael Kopech,28,TOT,ZZ,67,0,0,67.2,9,6,2,1,0,.889,,,-2,-35,-1,1.06,0.12,P,kopecmi01
702,Evan Kravetz,27,CIN,NL,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kraveev01
703,Ryan Kreidler,26,DET,AL,34,19,11,184.2,88,22,64,2,13,.977,3,20,1,6,-1,4.19,2.39,SS-3B-OF,kreidry01
704,Dean Kremer,28,BAL,AL,24,24,0,129.2,32,11,19,2,0,.938,,,4,6,0,2.08,1.25,P,kremede01
705,Zac Kristofak,26,LAA,AL,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,kristza01
706,Matt Krook,29,BAL,AL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,krookma01
707,Chad Kuhl,31,CHW,AL,31,1,0,53.1,9,6,3,0,1,1.000,,,1,4,0,1.52,0.29,P,kuhlch01
708,Joel Kuhnel,29,TOT,AL,6,0,0,10.0,2,0,2,0,0,1.000,,,1,120,0,1.80,0.33,P,kuhnejo01
709,Steven Kwan,26,CLE,AL,114,114,104,990.0,215,205,9,1,3,.995,1,1,10,12,3,1.95,1.88,OF,kwanst01
710,Joe La Sorsa,26,WSN,NL,16,0,0,17.2,4,0,4,0,0,1.000,,,0,0,0,2.04,0.25,P,lasorjo01
711,Peter Lambert,27,COL,NL,28,3,0,61.1,14,5,7,2,2,.857,,,0,0,0,1.76,0.43,P,lambepe01
712,Dinelson Lamet,31,LAD,NL,3,0,0,4.1,2,2,0,0,0,1.000,,,0,0,0,4.15,0.67,P,lametdi01
713,Alex Lange,28,DET,AL,21,0,0,18.2,1,0,1,0,0,1.000,,,0,0,0,0.48,0.05,P,langeal01
714,Shea Langeliers,26,OAK,AL,131,123,118,1108.2,1063,1007,51,5,5,.995,-2,-2,-10,-11,-6,8.59,8.08,C,langesh01
715,Wyatt Langford,22,TEX,AL,109,109,81,927.2,218,208,8,2,1,.991,6,7,14,18,5,2.10,1.98,OF,langfwy01
716,Trevor Larnach,27,MIN,AL,57,52,27,429.0,91,91,0,0,0,1.000,2,7,0,0,1,1.91,1.60,OF,larnatr01
717,Jacob Latz,28,TEX,AL,46,0,0,43.2,5,2,3,0,0,1.000,,,-1,-5,0,1.03,0.11,P,latzja01
718,Ramón Laureano,29,TOT,ZZ,96,74,58,675.1,146,138,7,1,0,.993,1,1,3,5,6,1.93,1.51,OF,laurera01
719,Derek Law,33,WSN,NL,75,0,0,90.0,10,4,6,0,2,1.000,,,-1,-2,0,1.00,0.13,P,lawde01
720,Justin Lawrence,29,COL,NL,56,0,0,59.2,15,4,11,0,1,1.000,,,0,0,0,2.26,0.27,P,lawreju01
721,Max Lazar,25,PHI,NL,11,0,0,13.2,3,0,3,0,1,1.000,,,0,0,0,1.98,0.27,P,lazarma01
722,Kyle Leahy,27,STL,NL,33,0,0,48.2,5,1,3,1,1,.800,,,0,0,0,0.74,0.12,P,leahyky01
723,Jordan Leasure,25,CHW,AL,33,0,0,31.1,4,2,2,0,0,1.000,,,1,6,0,1.15,0.12,P,leasujo01
724,Charles Leblanc,28,LAA,AL,10,6,3,54.0,30,17,12,1,3,.967,-1,-25,-1,-22,0,4.83,2.64,3B-2B-1B,leblach01
725,José Leclerc,30,TEX,AL,64,0,0,66.2,8,2,5,1,1,.875,,,0,0,0,0.95,0.11,P,leclejo01
726,Brooks Lee,23,MIN,AL,47,40,35,371.0,130,48,78,4,9,.969,-1,-3,1,3,1,3.06,2.47,SS-3B-2B,leebr02
727,Dylan Lee,29,ATL,NL,52,0,0,59.2,6,1,5,0,0,1.000,,,2,7,0,0.91,0.12,P,leedy01
728,Jung Hoo Lee,25,SFG,NL,37,36,35,306.2,80,79,1,0,0,1.000,-2,-7,-2,-7,0,2.35,2.16,OF,leeju01
729,Korey Lee,25,CHW,AL,113,93,88,838.1,861,824,33,4,4,.995,-2,-2,-10,-14,-3,9.20,7.58,C,leeko01
730,Casey Legumina,27,CIN,NL,6,0,0,9.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P,legumca01
731,Brandon Leibrandt,31,CIN,NL,2,0,0,6.1,2,1,1,0,0,1.000,,,1,32,0,2.84,1.00,P,leibrbr01
732,Jack Leiter,24,TEX,AL,9,6,0,35.2,6,3,3,0,0,1.000,,,0,0,0,1.51,0.67,P,leiteja01
733,Mark Leiter Jr.,33,TOT,ZZ,60,0,0,58.0,6,1,4,1,0,.833,,,0,0,0,0.78,0.08,P,leitema02
734,DJ LeMahieu,35,NYY,AL,66,55,42,511.1,297,212,82,3,20,.990,-5,-11,-5,-12,0,5.17,3.97,3B-1B,lemahdj01
735,Pedro León,26,HOU,AL,6,6,6,54.2,7,7,0,0,0,1.000,-2,-44,0,0,0,1.15,1.17,OF,leonpe01
736,Dominic Leone,32,CHW,AL,23,0,0,19.0,3,0,2,1,0,.667,,,-2,-21,0,0.95,0.09,P,leonedo01
737,Royce Lewis,25,MIN,AL,52,50,44,419.2,132,42,83,7,7,.947,-3,-9,-2,-6,0,2.68,2.36,3B-2B,lewisro02
738,Matthew Liberatore,24,STL,NL,60,6,0,86.0,22,4,17,1,2,.955,,,3,7,0,2.20,0.35,P,liberma01
739,Francisco Lindor,30,NYM,NL,151,150,141,1311.2,564,194,358,12,74,.979,6,5,1,1,-1,3.79,3.66,SS,lindofr01
740,Trey Lipscomb,24,WSN,NL,60,57,48,496.1,168,49,110,9,16,.946,3,8,3,7,0,2.88,2.56,3B-1B-2B,lipsctr01
741,Zack Littell,28,TBR,AL,29,29,0,156.1,21,11,9,1,2,.952,,,-2,-3,0,1.15,0.69,P,litteza01
742,Brendon Little,27,TOR,AL,49,0,0,45.2,15,6,9,0,2,1.000,,,0,0,0,2.96,0.31,P,littlbr02
743,Luke Little,23,CHC,NL,30,1,0,26.0,8,1,7,0,1,1.000,,,1,8,0,2.77,0.27,P,littllu01
744,Ben Lively,32,CLE,AL,29,29,0,151.0,16,4,12,0,1,1.000,,,-1,-1,0,0.95,0.55,P,livelbe01
745,Jonathan Loáisiga,29,NYY,AL,3,0,0,4.0,3,1,2,0,0,1.000,,,0,0,0,6.75,1.00,P,loaisjo01
746,Tyler Locklear,23,SEA,AL,16,12,10,112.0,98,91,7,0,5,1.000,1,8,-1,-11,0,7.88,6.13,1B,locklty01
