Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Triston Casas,24,3,Amateur Draft,1.032,,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,,,,casastr01
Wilyer Abreu,25,2,Traded,0.041,,1 yr/$750k (24),$749.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,abreuwi02
Isaiah Campbell,26,2,Traded,0.086,,1 yr/$746k (24),$746k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,campbis01
Greg Weissert,29,3,Traded,0.088,,1 yr/$744k (24),$743.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,weissgr01
Chris Murphy,26,1st,Amateur Draft,0.081,,1 yr/$744k (24),$743.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,murphch01
Enmanuel Valdez,25,2,Traded,0.077,,1 yr/$744k (24),$743.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,valdeen01
Vaughn Grissom,23,3,Traded,0.094,,1 yr/$742k (24),$742k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,grissva01
Romy Gonzalez,27,4,Waivers,1.083,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,,gonzaro01
Zack Kelly,29,3,Free Agency,1.038,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,,kellyza01
Brennan Bernardino,32,3,Waivers,0.153,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,bernabr01
Quinn Priester,23,2,Traded,0.049,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,priesqu01
David Hamilton,26,2,Traded,0.020,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,hamilda03
Alex Speas,26,2,,0.007,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,speasal01
Michael Fulmer,31,7,,7.157,BBI Sports Group,,FA,,,,,,,,,,fulmemi01
Brad Keller,28,7,Free Agency,6.000,Excel Sports Mana...,,FA,,,,,,,,,,kellebr01
Bobby Dalbec,29,5,Amateur Draft,2.115,CAA Sports,,,,Arb,Arb,FA,,,,,,dalbebo01
Yohan Ramírez,29,5,Waivers,2.102,,,,,Arb,Arb,FA,,,,,,ramiryo01
Wyatt Mills,29,2,,1.134,,,,,Arb,Arb,Arb,FA,,,,,millswy01
Jason Alexander,31,1st,,1.047,,,,,Arb,Arb,Arb,FA,,,,,alexaja01
Dalton Guthrie,28,2,,0.081,,,,,,Arb,Arb,Arb,FA,,,,guthrda01
Mark Kolozsvary,28,2,,0.047,,,,,,Arb,Arb,Arb,FA,,,,kolozma01
,,,,,,,,,,,,,,,,,-9999
,Joely Rodríguez buyout,Joely Rodríguez buyout,Joely Rodríguez buyout,Joely Rodríguez buyout,Joely Rodríguez buyout,Joely Rodríguez buyout,$500k,,,,,,,,,,-9999
,Justin Turner buyout,Justin Turner buyout,Justin Turner buyout,Justin Turner buyout,Justin Turner buyout,Justin Turner buyout,$6.7M,,,,,,,,,,-9999
,Richard Bleier buyout,Richard Bleier buyout,Richard Bleier buyout,Richard Bleier buyout,Richard Bleier buyout,Richard Bleier buyout,$250k,,,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*36,7,6,5,3,3,2,2,1,1,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$178.4M,$87.2M,$91M,$90M,$59.9M,$59.9M,$44.8M,$44.2M,$35M,$31M,-9999
,,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,2,2,1,2,,1,,1,,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$21M,$26M,$8.25M,$35.5M,,$21M,,$16M,,-9999
,,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-2-0,0-0-13-0,0-0-25-0,0-0-23-0,0-0-13-0,0-0-0-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),,$11.33M,$73.7M,$141.7M,$130.3M,$73.7M,$0,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,16,6,-5,-1,9,23,23,24,24,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$12.03M,$4.51M,-$3.76M,-$751.74k,$6.77M,$17.29M,$17.29M,$18.04M,$18.04M,-9999
,,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$110.5M,$169.2M,$227.9M,$189.5M,$140.3M,$62M,$61.5M,$53M,$49M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$130M,$193.7M,$235.4M,$223.5M,$140.3M,$82.3M,$61.5M,$68.3M,$49M,-9999
