Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,Name-additional
Matt Manning,26,4,Amateur Draft,2.098,Boras Corporation,1 yr/$740k (24),$740k,Arb,Arb,Arb,FA,,,,,mannima02
Beau Brieske,26,3,Amateur Draft,1.166,,1 yr/$740k (24),$740k,Arb,Arb,Arb,Arb,FA,,,,briesbe01
Mason Englert,24,2,Waivers,1.000,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,englema01
Brendan White,25,1st,Amateur Draft,0.111,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,whitebr01
Ryan Kreidler,26,3,Amateur Draft,0.051,Wasserman,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,kreidry01
Óscar Mercado,29,5,,3.031,Excel Sports Mana...,,Arb,,Arb,FA,,,,,,mercaos01
Miguel Díaz,29,7,Free Agency,2.163,,,,,Arb,Arb,FA,,,,,diazmi02
Anthony Bemboom,34,5,,1.170,Sterling Sports M...,,,,Arb,Arb,Arb,FA,,,,bemboan01
Andrew Vasquez,30,5,Waivers,1.139,,,,,Arb,Arb,Arb,FA,,,,vasquan02
Bligh Madris,28,3,Free Agency,0.117,,,,,,Arb,Arb,Arb,FA,,,madribl01
Garrett Hill,28,2,Free Agency,0.131,,,,,,Arb,Arb,Arb,FA,,,hillga02
Devin Sweet,27,1st,,0.047,,,,,,Arb,Arb,Arb,FA,,,sweetde01
TJ Hopkins,27,1st,,0.044,,,,,,Arb,Arb,Arb,FA,,,hopkitj01
Drew Maggi,35,1st,,0.027,,,,,,Arb,Arb,Arb,FA,,,maggidr01
Brenan Hanifee,26,2,Free Agency,0.012,,,,,,Arb,Arb,Arb,FA,,,hanifbr01
Blair Calvo,28,1st,,0.001,,,,,,Arb,Arb,Arb,FA,,,calvobl01
,,,,,,,,,,,,,,,,-9999
,Miguel Cabrera buyout,Miguel Cabrera buyout,Miguel Cabrera buyout,Miguel Cabrera buyout,Miguel Cabrera buyout,Miguel Cabrera buyout,$8M,,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*27,3,2,2,1,1,,,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$73M,$38.8M,$28.33M,$28.33M,$5.33M,$5.33M,$2.64M,,,-9999
,,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,1,,,,,1,1,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,$3.1M,,,,,$10M,$13M,$15M,-9999
,,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-12-0,0-0-22-0,0-0-30-0,0-0-22-0,0-0-13-0,0-0-0-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),,$68M,$124.7M,$170M,$124.7M,$73.7M,$0,$0,$0,-9999
,,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,10,1,-7,2,11,25,25,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$7.52M,$751.74k,-$5.26M,$1.5M,$8.27M,$18.79M,$18.79M,$18.79M,-9999
,,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$114.4M,$153.7M,$193.1M,$131.5M,$87.3M,$21.44M,$18.79M,$18.79M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$116.7M,$153.7M,$193.1M,$131.5M,$87.3M,$30.7M,$31M,$33M,-9999
