Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos Summary,Name-additional
Wenceel Pérez,24,105,94,81,846.1,192,189,1,2,0,0.99,3,5,-2,-3,-3,2.02,1.58,,,,,,,,RF-CF-LF-DH,perezwe01
Jake Rogers,29,92,86,75,761,776,744,29,3,4,0.996,4,6,13,20,1,9.14,7.81,1,21,39,13,0.25,0.22,0,C-DH,rogerja03
Bryan Sammons,29,6,0,0,27.1,1,0,1,0,0,1,,,0,0,0,0.33,0.17,,,0,1,1.00,0.22,0,P,sammobr01
Tarik Skubal,27,31,31,0,192,29,7,19,3,2,0.897,,,3,3,0,1.22,0.84,,,3,3,0.50,0.22,0,P,skubata01
Trey Sweeney,24,36,33,28,294,145,37,104,4,20,0.972,3,13,3,12,0,4.32,3.92,,,,,,,,SS,sweentr01
Spencer Torkelson,24,90,90,85,799.2,763,701,58,4,59,0.995,3,5,2,3,1,8.54,8.25,,,,,,,,1B-DH,torkesp01
Gio Urshela,32,90,81,73,716.1,278,159,114,5,19,0.982,1,1,-4,-7,-1,3.43,2.94,,,,,,,,3B-1B-DH,urshegi01
Ricky Vanasco,25,2,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,vanasri01
Will Vest,29,69,0,0,70.1,11,4,7,0,0,1,,,1,3,0,1.41,0.16,,,3,2,0.40,0.22,0,P,vestwi01
Matt Vierling,27,138,124,90,1110.1,319,238,77,4,7,0.987,9,10,2,2,-2,2.55,1.92,,,,,,,,CF-3B-RF-LF-1B-DH,vierlma01
Ryan Vilade,25,16,12,8,112.1,32,32,0,0,0,1,0,4,-4,-43,-1,2.56,1.52,,,,,,,,RF-LF-CF-1B,viladry01
Joey Wentz,26,38,1,0,55.1,7,3,3,1,0,0.857,,,-2,-7,0,0.98,0.16,,,11,2,0.15,0.22,2,P,wentzjo01
Infield Shifts,,,,,,,,,,,,,,26,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,2,,,,,,,,,,,,,-9999
Team Totals,27.3,162,1458,1045,13023,5830,4341,1409,80,129,0.986,36,3,50,,,3.97,2.6,7,40,96,33,0.26,0.22,4,,-9999
Rank in 15 AL teams,,,,,,,,,4,,3,,,,,,,,,,,,,,,,-9999
